provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,0100160,Bachelor of Science and Bachelor of Advanced Studies (Animal and Veterinary Bioscience),No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,0100161,Bachelor of Science and Bachelor of Advanced Studies (Food and Agribusiness),No,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,0100162,Bachelor of Science and Bachelor of Advanced Studies (Agriculture),No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,0100199,Bachelor of Advanced Studies (Honours),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$52,500.00",No
00026A,The University of Sydney,0100200,Doctor of Philosophy (Arts and Social Sciences),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Doctoral Degree,No,No,208,English,"$217,300.00",No
00026A,The University of Sydney,0100244,Doctor of Philosophy (Medicine and Health),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,0100634,Master of Exercise Physiology,No,06 - Health,0699 - Other Health,069903 - Human Movement,Masters Degree (Coursework),No,Yes,78,English,"$93,500.00",No
00026A,The University of Sydney,0101564,Bachelor of Music and Bachelor of Advanced Studies (Performance),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Degree,No,No,260,English,"$261,300.00",No
00026A,The University of Sydney,0101565,Bachelor of Music and Bachelor of Advanced Studies (Composition),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Degree,No,No,260,English,"$267,200.00",No
00026A,The University of Sydney,0101899,Bachelor of Veterinary Biology (Exit Only),No,06 - Health,0611 - Veterinary Studies,"061199 - Veterinary Studies, n.e.c.",Bachelor Degree,No,Yes,156,English,"$222,000.00",No
00026A,The University of Sydney,0102041,Graduate Certificate in Management,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Graduate Certificate,No,No,26,English,"$25,250.00",No
00026A,The University of Sydney,0102151,Bachelor of Advanced Studies (Media and Communications),No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Bachelor Degree,No,Yes,52,English,"$56,300.00",No
00026A,The University of Sydney,0102152,Bachelor of Advanced Studies (Media and Communications) (Honours),No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Bachelor Honours Degree,No,Yes,52,English,"$56,300.00",No
00026A,The University of Sydney,012825D,Bachelor of Applied Science (Speech Pathology),No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,Bachelor Degree,No,Yes,208,English,"$275,700.00",No
00026A,The University of Sydney,012846K,Graduate Diploma in Science (Research),No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Graduate Diploma,No,No,52,English,"$58,800.00",No
00026A,The University of Sydney,012849G,Bachelor of Commerce,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Bachelor Degree,No,No,156,English,"$174,000.00",No
00026A,The University of Sydney,012851B,Bachelor of Arts / Bachelor of Social Work,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,Yes,260,English,"$298,800.00",No
00026A,The University of Sydney,016226F,Graduate Diploma in Public Policy,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Graduate Diploma,No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,016228D,Master of Public Policy,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,016237C,Bachelor of Science / Bachelor of Laws,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,No,260,English,"$298,800.00",No
00026A,The University of Sydney,016238B,Master of Criminology (Research),No,09 - Society and Culture,0909 - Law,090905 - Criminal Law,Masters Degree (Research),No,No,104,English,"$118,600.00",No
00026A,The University of Sydney,016239A,Master of Environmental Law,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,016246B,Bachelor of Medical Science,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Bachelor Degree,No,No,156,English,"$184,530.00",No
00026A,The University of Sydney,017835F,Bachelor of Commerce and Bachelor of Laws,Yes,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Bachelor Degree,No,No,260,English,"$298,800.00",No
00026A,The University of Sydney,019178G,Master of Music (Composition),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Masters Degree (Research),No,No,104,English,"$95,200.00",No
00026A,The University of Sydney,019180B,Master of Music (Musicology),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Masters Degree (Research),No,No,104,English,"$95,200.00",No
00026A,The University of Sydney,019181A,Master of Commerce,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,019182M,Graduate Diploma in Commerce,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,019183K,Bachelor of Computer Science and Technology,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",Bachelor Degree,No,No,156,English,"$187,300.00",No
00026A,The University of Sydney,019184J,Bachelor of Psychology,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Bachelor Degree,No,No,208,English,"$241,400.00",No
00026A,The University of Sydney,019835A,Master of Philosophy (Business),No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Masters Degree (Research),No,No,104,English,"$118,600.00",No
00026A,The University of Sydney,020152G,Master of Administrative Law and Policy,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,020155D,Master of Teaching,No,07 - Education,0701 - Teacher Education,"070199 - Teacher Education, n.e.c.",Masters Degree (Coursework),No,Yes,104,English,"$109,800.00",No
00026A,The University of Sydney,022306M,Bachelor of Applied Science (Exercise and Sport Science),No,06 - Health,0699 - Other Health,069903 - Human Movement,Bachelor Degree,No,Yes,156,English,"$203,700.00",No
00026A,The University of Sydney,022310D,University of Sydney Foundation Program - Standard Course,No,12 - Mixed Field Programmes,1201 - General Education Programmes,"120199 - General Education Programmes, n.e.c.",Non AQF Award,Yes,No,52,English,"$48,350.00",No
00026A,The University of Sydney,022312B,Master of Information Technology,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",Masters Degree (Coursework),No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,022575A,Doctor of Education,No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",Doctoral Degree,No,No,208,English,"$182,800.00",No
00026A,The University of Sydney,023334K,Master of Social Work,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,023937E,Graduate Certificate in International Studies,No,08 - Management and Commerce,0803 - Business and Management,080311 - International Business,Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,023939C,Graduate Certificate in Commerce,No,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,023941J,Graduate Certificate in Public Policy,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,024656F,Graduate Certificate in Transport Management,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089901 - Purchasing, Warehousing and Distribution",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,024659C,Graduate Diploma in Educational Studies,No,07 - Education,0701 - Teacher Education,070111 - Teacher Education: Higher Education,Graduate Diploma,No,No,52,English,"$40,575.00",No
00026A,The University of Sydney,025098A,Bachelor of Commerce (Liberal Studies),No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Bachelor Degree,No,No,208,English,"$235,500.00",No
00026A,The University of Sydney,025100A,Bachelor of Engineering / Bachelor of Arts,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,025101M,Bachelor of Engineering / Bachelor of Science,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,025102K,Bachelor of Engineering / Bachelor of Commerce,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,026956M,Master of Philosophy (Education),No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",Masters Degree (Research),No,No,104,English,"$105,400.00",No
00026A,The University of Sydney,026957K,Bachelor of Music Studies,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Degree,No,No,156,English,"$155,500.00",No
