provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,060616D,Graduate Certificate in Human Rights,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,060617C,Master of US Studies,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,060620G,Bachelor of Arts (Media and Communications) and Bachelor of Laws,Yes,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Bachelor Degree,No,Yes,312,English,"$364,000.00",No
00026A,The University of Sydney,060904G,Master of Architecture,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,Masters Degree (Coursework),No,No,104,English,"$97,600.00",No
00026A,The University of Sydney,060905F,Master of Urban Design (Architectural and Urban Design),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Masters Degree (Coursework),No,No,104,English,"$100,900.00",No
00026A,The University of Sydney,060909B,Graduate Certificate in Design Science (Audio and Acoustics),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,060910J,Grauate Diploma in Design Science (Audio and Acoustics),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,060911G,Master of Design Science (Audio and Acoustics),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$74,080.00",No
00026A,The University of Sydney,060912G,Master of Design Science (Audio and Acoustics),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Masters Degree (Coursework),No,No,104,English,"$99,270.00",No
00026A,The University of Sydney,060913F,Master of Design Science (Audio and Acoustics) (Honours),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Masters Degree (Coursework),No,No,26,English,,No
00026A,The University of Sydney,061140E,Master of Human Resource Management & Industrial Relations,No,08 - Management and Commerce,0803 - Business and Management,080303 - Human Resource Management,Masters Degree (Coursework),No,No,78,English,"$77,600.00",No
00026A,The University of Sydney,061141D,Graduate Diploma in Human Resource Management & Industrial Relations,No,08 - Management and Commerce,0803 - Business and Management,080303 - Human Resource Management,Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,061142C,Graduate Certificate in Human Resource Management & Industrial Relations,No,08 - Management and Commerce,0803 - Business and Management,080303 - Human Resource Management,Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,061144A,Doctor of Musical Arts,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Doctoral Degree,No,No,208,English,"$196,100.00",No
00026A,The University of Sydney,061145M,Bachelor of Music Studies / Bachelor of Arts,Yes,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Degree,No,No,260,English,"$267,200.00",No
00026A,The University of Sydney,061147J,Bachelor of Music Studies (Honours),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Honours Degree,No,No,52,English,"$50,300.00",No
00026A,The University of Sydney,061187A,Master of International Security,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$68,025.00",No
00026A,The University of Sydney,061188M,Graduate Diploma in International Security,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Graduate Diploma,No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,061189K,Graduate Certificate in International Security,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,061297F,Graduate Diploma in Cultural Studies,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,061298E,Graduate Certificate in Cultural Studies,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,061790D,Master of Philosophy (Engineering),No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Masters Degree (Research),No,No,104,English,"$118,600.00",No
00026A,The University of Sydney,061793A,Graduate Diploma in Engineering,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Graduate Diploma,No,No,52,English,"$43,425.00",No
00026A,The University of Sydney,062100E,Bachelor of Information Technologies and Bachelor of Commerce,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Bachelor Degree,No,No,260,English,"$321,700.00",No
00026A,The University of Sydney,062483G,Bachelor of Arts (Languages) (Honours),No,09 - Society and Culture,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$52,500.00",No
00026A,The University of Sydney,062564F,Doctor of Philosophy in Education (Cotutelle),No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,Doctoral Degree,No,No,208,English,,No
00026A,The University of Sydney,062970C,Master of Marketing,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,Masters Degree (Coursework),No,No,60,English,"$73,940.00",No
00026A,The University of Sydney,063099G,Master of Management,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Masters Degree (Coursework),No,No,60,English,"$68,025.00",No
00026A,The University of Sydney,063100G,Master of Management (Community of European Management Schools),No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$87,700.00",No
00026A,The University of Sydney,063204M,Master of Rehabilitation Counselling,No,06 - Health,0617 - Rehabilitation Therapies,"061700 - Rehabilitation Therapies, n.f.d.",Masters Degree (Coursework),No,Yes,104,English,"$125,300.00",No
00026A,The University of Sydney,063745D,Bachelor of International and Global Studies,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,156,English,"$162,300.00",No
00026A,The University of Sydney,063746C,Bachelor of International and Global Studies and Bachelor of Laws,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,260,English,"$298,800.00",No
00026A,The University of Sydney,063747B,Graduate Certificate in Engineeering,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Graduate Certificate,No,No,26,English,"$28,950.00",No
00026A,The University of Sydney,063847J,Bachelor of Applied Science (Physiotherapy),No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,Bachelor Degree,No,Yes,208,English,"$275,700.00",No
00026A,The University of Sydney,063849G,Bachelor of Applied Science (Occupational Therapy),No,06 - Health,0617 - Rehabilitation Therapies,061703 - Occupational Therapy,Bachelor Degree,No,Yes,208,English,"$275,700.00",No
00026A,The University of Sydney,063948D,Master of Health Communication,No,06 - Health,0613 - Public Health,061307 - Health Promotion,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,063949C,Graduate Diploma in Health Communication,No,06 - Health,0613 - Public Health,061307 - Health Promotion,Graduate Diploma,No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,063950K,Graduate  Certificate in Health Communication,No,06 - Health,0613 - Public Health,061307 - Health Promotion,Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,063951J,Graduate Certificate in Art Curatorship,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Graduate Certificate,No,No,26,English,"$22,500.00",No
00026A,The University of Sydney,064058G,Graduate Certificate in Interaction Design and Electronic Arts,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,064059G,Graduate Diploma in Interaction Design and Electronics Arts,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,064060C,Master of Interaction Design and Electronic Arts,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,064103G,Bachelor of Information Technology and Bachelor of Arts,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Bachelor Degree,No,No,260,English,"$321,700.00",No
00026A,The University of Sydney,064104G,Bachelor of Information Technology and Bachelor of Medical Science,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Bachelor Degree,No,No,260,English,"$332,900.00",No
00026A,The University of Sydney,064105F,Bachelor of Information Technology and Bachelor of Science,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Bachelor Degree,No,No,260,English,"$321,700.00",No
00026A,The University of Sydney,064106E,Bachelor of Engineering (Civil) and Bachelor of Design in Architecture,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",Bachelor Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,064107D,Master of Professional Engineering,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Masters Degree (Coursework),No,Yes,104,English,"$117,500.00",No
00026A,The University of Sydney,064136K,Master of Political Economy,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,064137J,Graduate Diploma in Political Economy,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Graduate Diploma,No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,064138G,Graduate Certificate in Political Economy,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,064271C,Doctor of Clinical Dentistry (Oral Medicine),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Masters Degree (Extended),No,Yes,156,English,"$258,100.00",No
00026A,The University of Sydney,064272B,Doctor of Clinical Dentistry (Orthodontics),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Masters Degree (Extended),No,Yes,156,English,"$258,100.00",No
00026A,The University of Sydney,064281A,Doctor of Clinical Dentistry (Periodontics),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Masters Degree (Extended),No,Yes,156,English,"$258,100.00",No
00026A,The University of Sydney,064292J,Doctor of Clinical Dentistry (Prosthodontics),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Masters Degree (Coursework),No,Yes,156,English,"$258,100.00",No
00026A,The University of Sydney,064298C,Doctor of Clinical Dentistry (Paediatric Dentristry),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Masters Degree (Extended),No,Yes,156,English,"$258,100.00",No
00026A,The University of Sydney,064373G,Graduate Certificate in Clinical Dentistry (Hospital Dentistry),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Graduate Certificate,No,Yes,26,English,"$41,750.00",No
00026A,The University of Sydney,066074C,Bachelor of Liberal Studies (Honours),No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Honours Degree,No,No,52,English,"$46,000.00",No
00026A,The University of Sydney,066136E,Graduate Certificate in Innovation & Enterprise,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,066825B,Bachelor of Education (Secondary) (Human Movement and Health Education),No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,Bachelor Degree,No,Yes,208,English,"$223,100.00",No
00026A,The University of Sydney,068549A,"Bachelor of Political, Economic and Social Sciences",No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Bachelor Degree,No,No,156,English,"$162,300.00",No
00026A,The University of Sydney,068550G,Graduate Certificate in Human and Community Services,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,068551G,Bachelor of Education (Early Childhood),No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,068569G,Bachelor of Liberal Arts and Sciences,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,156,English,"$174,000.00",No
00026A,The University of Sydney,068692E,Graduate Certificate in Sustainability,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,068693D,Graduate Diploma in Sustainability,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,068694C,Master of Sustainability,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Masters Degree (Coursework),No,Yes,78,English,"$93,500.00",No
00026A,The University of Sydney,068705E,Master of Cancer and Haematology Nursing,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$74,080.00",No
00026A,The University of Sydney,068708B,Master of Emergency Nursing,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$74,080.00",No
00026A,The University of Sydney,068709A,Master of Intensive Care Nursing,No,06 - Health,0603 - Nursing,060309 - Critical Care Nursing,Masters Degree (Coursework),No,No,78,English,"$74,080.00",No
00026A,The University of Sydney,068710G,Master of Mental Health Nursing,No,06 - Health,0603 - Nursing,060305 - Mental Health Nursing,Masters Degree (Coursework),No,No,78,English,"$74,080.00",No
00026A,The University of Sydney,068767B,Bachelor of Information Technology and Bachelor of Law,Yes,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Bachelor Degree,No,No,312,English,"$364,000.00",No
00026A,The University of Sydney,068768A,Graduate Diploma in Cancer and Haematology Nursing,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Graduate Diploma,No,No,52,English,"$48,900.00",No
00026A,The University of Sydney,068770G,Graduate Diploma in Emergency Nursing,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Graduate Diploma,No,No,52,English,"$48,900.00",No
00026A,The University of Sydney,068771F,Graduate Diploma in Intensive Care Nursing,No,06 - Health,0603 - Nursing,060309 - Critical Care Nursing,Graduate Diploma,No,No,52,English,"$48,900.00",No
00026A,The University of Sydney,068772E,Graduate Diploma in Mental Health Nursing,No,06 - Health,0603 - Nursing,060305 - Mental Health Nursing,Graduate Diploma,No,No,52,English,"$48,900.00",No
00026A,The University of Sydney,068773D,Master of Nursing,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Masters Degree (Coursework),No,Yes,104,English,"$104,100.00",No
00026A,The University of Sydney,068774C,Bachelor of Environmental Systems,No,"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",Bachelor Degree,No,No,156,English,"$157,640.00",No
00026A,The University of Sydney,068825G,Master of Brain and Mind Sciences,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,068826G,Graduate Diploma in Brain and Mind Sciences,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,068827F,Graduate Certificate in Brain and Mind Sciences,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,068924E,Master of Fine Arts,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100399 - Visual Arts and Crafts, n.e.c.",Masters Degree (Research),No,No,104,English,"$95,200.00",No
00026A,The University of Sydney,069875A,Bachelor of Science and Master of Nutrition and Dietetics,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Masters Degree (Coursework),No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,069877K,Bachelor of Arts and Master of Nursing,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Masters Degree (Coursework),No,Yes,208,English,"$209,180.00",No
00026A,The University of Sydney,069880D,Bachelor of Science and Master of Nursing,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Masters Degree (Coursework),No,Yes,208,English,"$224,240.00",No
00026A,The University of Sydney,071480B,Graduate Certificate in Clinical Epidemiology,No,06 - Health,0613 - Public Health,061311 - Epidemiology,Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,071754C,Juris Doctor,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Masters Degree (Coursework),No,No,156,English,"$188,800.00",No
00026A,The University of Sydney,072217J,Master of Social Work (Qualifying),No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,Masters Degree (Coursework),No,Yes,104,English,"$109,800.00",No
00026A,The University of Sydney,072495J,Bachelor of Oral Health,No,06 - Health,0607 - Dental Studies,"060799 - Dental Studies, n.e.c.",Bachelor Degree,No,Yes,156,English,"$187,300.00",No
00026A,The University of Sydney,072571B,Graduate Diploma in Marketing,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,073071C,Graduate Diploma in Clinical Epidemiology,No,06 - Health,0613 - Public Health,061311 - Epidemiology,Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,074086K,Master of International Business and Law,No,09 - Society and Culture,0909 - Law,090909 - International Law,Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,074087J,Master of International Business,No,08 - Management and Commerce,0803 - Business and Management,080311 - International Business,Masters Degree (Coursework),No,No,60,English,"$77,600.00",No
00026A,The University of Sydney,074088G,Bachelor of Nursing (Advanced Studies),No,06 - Health,0603 - Nursing,060301 - General Nursing,Bachelor Degree,No,Yes,156,English,"$152,100.00",No
00026A,The University of Sydney,074120B,Doctor of Dental Medicine,No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Masters Degree (Coursework),No,Yes,208,English,"$397,500.00",No
00026A,The University of Sydney,074172A,Graduate Certificate in Environmental Science,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,074173M,Graduate Diploma in Environmental Science,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,074184G,Graduate Diploma in Coaching Psychology,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,074185G,Master of Science in Coaching Psychology,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,074245M,Bachelor of Applied Science (Exercise Physiology),No,06 - Health,0699 - Other Health,"069999 - Health, n.e.c.",Bachelor Degree,No,No,208,English,"$275,700.00",No
00026A,The University of Sydney,074381C,Bachelor of Project Management,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,No,156,English,"$187,300.00",No
00026A,The University of Sydney,074382B,Bachelor of Engineering and Bachelor of Project Management,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,074731G,Graduate Diploma in Marine Science and Management,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010907 - Marine Science,Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,074884B,Bachelor of Liberal Arts and Science Honours,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Honours Degree,No,No,52,English,"$56,300.00",No
00026A,The University of Sydney,075305G,Bachelor of Design in Architecture/Bachelor of Laws,Yes,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,Bachelor Degree,No,No,260,English,"$284,570.00",No
00026A,The University of Sydney,075432M,Bachelor of International and Global Studies (Honours),No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$52,500.00",No
00026A,The University of Sydney,075521K,Bachelor of International Studies (Honours),No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$46,000.00",No
00026A,The University of Sydney,075522J,"Bachelor of Political, Economic and Social Sciences (Honours)",No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$52,500.00",No
00026A,The University of Sydney,076247D,Graduate Diploma in Clinical Dentistry (Surgical Dentistry),No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Graduate Diploma,No,Yes,52,English,"$83,500.00",No
00026A,The University of Sydney,077102B,Graduate Diploma in Professional Accounting,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,077328F,Master of Commerce (Extension),No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Masters Degree (Coursework),No,No,104,English,"$125,300.00",No
00026A,The University of Sydney,077337E,Master of Professional Accounting,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,Masters Degree (Coursework),No,No,104,English,"$125,300.00",No
00026A,The University of Sydney,077459F,Master of Music Studies (Opera Performance),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Masters Degree (Coursework),No,No,104,English,"$96,400.00",No
00026A,The University of Sydney,077462M,Bachelor of Environmental Systems (Honours),No,"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$51,000.00",No
00026A,The University of Sydney,077463K,Master of Engineering,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$87,700.00",No
00026A,The University of Sydney,077470M,Master of Professional Engineering,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Masters Degree (Coursework),No,Yes,156,English,"$178,900.00",No
00026A,The University of Sydney,077819J,Bachelor of Nursing (Honours),No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$49,200.00",No
00026A,The University of Sydney,078670F,Master of Media Practice,No,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$86,800.00",No
00026A,The University of Sydney,078876C,Doctor of Philosophy in Agriculture (Cotutelle),No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Doctoral Degree,No,No,208,English,,No
00026A,The University of Sydney,078877B,Doctor of Philosophy in Architecture (Cotutelle),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,Doctoral Degree,No,No,208,English,,No
00026A,The University of Sydney,078881F,Doctor of Philosophy in Law (Cotutelle),No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Doctoral Degree,No,No,208,English,,No
00026A,The University of Sydney,078882E,Doctor of Philosophy in Music (Cotutelle),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Doctoral Degree,No,No,208,English,,No
00026A,The University of Sydney,078886A,Doctor of Philosophy in Visual Arts (Cotutelle),No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100300 - Visual Arts and Crafts, n.f.d.",Doctoral Degree,No,No,208,English,,No
00026A,The University of Sydney,079022G,Bachelor of Food and Agribusiness,No,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,Bachelor Degree,No,Yes,208,English,"$213,360.00",No
00026A,The University of Sydney,079025E,Master of Digital Communication and Culture,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$81,950.00",No
00026A,The University of Sydney,079198F,Graduate Certificate in Economics,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,079200F,Graduate Certificate in Economic Analysis,No,09 - Society and Culture,0919 - Economics and Econometrics,091903 - Econometrics,Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,079201E,Graduate Diploma in Economic Analysis,No,09 - Society and Culture,0919 - Economics and Econometrics,091903 - Econometrics,Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,079202D,Master of Economic Analysis,No,09 - Society and Culture,0919 - Economics and Econometrics,091903 - Econometrics,Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,079203C,Graduate Certificate in International Relations,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090101 - Political Science,Graduate Certificate,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,079204B,Graduate Diploma in International Relations,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090101 - Political Science,Graduate Diploma,No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,079205A,Master of International Relations,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090101 - Political Science,Masters Degree (Coursework),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,079206M,Graduate Certificate in Museum and Heritage Studies,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,079207K,Graduate Diploma in Museum and Heritage Studies,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,079208J,Master of Museum and Heritage Studies,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
